scheme_id,half_term,unit_id,unit_title,type,file
y12m,1,test-initial,Settling-in Assessment,assess,assessments/a-level-settling-in-exam-actual.docx
y12m,1,1pure1,"GCSE Algebra, discriminant, sketching curves",learn,edexcel-schemes/m/1pure1.pdf
y12m,1,1pure2,"Coordinate geometry in the (x, y) plane",learn,edexcel-schemes/m/1pure2.pdf
y12m,1,1pure8,Exponentials & logarithms,learn,edexcel-schemes/m/1pure8.pdf
y12m,1,test-y12ht1,HT1 test,assess,assessments/maths2017-ht1.docx
y12m,2,1pure3,"Proofs, factor theorem, binomimal expansion",learn,edexcel-schemes/m/1pure3.pdf
y12m,2,1stats1,Statistical sampling,learn,edexcel-schemes/m/1stats1.pdf
y12m,2,1stats2,Data presentation and interpretation,learn,edexcel-schemes/m/1stats2.pdf
y12m,2,test-ht2,HT2 test ready for Y12 SCE,assess,assessments/maths2017-ht2.docx
y12m,2,1mech6,Quantities and units in mechanics,learn,edexcel-schemes/m/1mech6.pdf
y12m,2,1mech7,Kinematics 1 (constant acceleration),learn,edexcel-schemes/m/1mech7.pdf
y12m,2,1pure4,Trigonometry,learn,edexcel-schemes/m/1pure4.pdf
y12m,3,test-jan-y12mock,Mock exam - trimmed AS paper,assess,
y12m,3,1pure5,Vectors (2D),learn,edexcel-schemes/m/1pure5.pdf
y12m,3,1stats3,Probability,learn,edexcel-schemes/m/1stats3.pdf
y12m,3,1stats4,Statistical distributions,learn,edexcel-schemes/m/1stats4.pdf
y12m,3,test-y12ht3,HT3 test,assess,
y12m,4,1pure6,Differentiation,learn,edexcel-schemes/m/1pure6.pdf
y12m,4,1pure7,Integration,learn,edexcel-schemes/m/1pure7.pdf
y12m,4,1stats5,Hypothesis testing,learn,edexcel-schemes/m/1stats5.pdf
y12m,4,1mech8,Forces & Newton's laws,learn,edexcel-schemes/m/1mech8.pdf
y12m,4,1mech9,Kinematics 2 (variable acceleration),learn,edexcel-schemes/m/1mech9.pdf
y12m,5,test-y12as,Full AS Paper to determine exam entry,assess,
y12m,6,2pure3,"Functions, domain, range, modulus",learn,edexcel-schemes/m/2pure3.pdf
y12m,6,2pure4,Sequences and series (AP and GP),learn,edexcel-schemes/m/2pure4.pdf
y13m,1,2pure1,More proofs,learn,edexcel-schemes/m/2pure1.pdf
y13m,1,2pure2,Partial fractions and algebraic division,learn,edexcel-schemes/m/2pure2.pdf
y13m,1,2pure5,"Binomial expansion, advanced",learn,edexcel-schemes/m/2pure5.pdf
y13m,1,2stats1,"Correlation and regression, advanced",learn,edexcel-schemes/m/2stats1.pdf
y13m,1,test-y13ht1,"HT1 test, ready for 0123 in Oct",assess,
y13m,1,2mech4,Moments,learn,edexcel-schemes/m/2mech4.pdf
y13m,1,2mech6,Projectiles,learn,edexcel-schemes/m/2mech6.pdf
y13m,2,2pure6,"More trigonometry (radians, identities)",learn,edexcel-schemes/m/2pure6.pdf
y13m,2,2pure8,"Differentiation, advanced",learn,edexcel-schemes/m/2pure8.pdf
y13m,2,2stats2,More probability,learn,edexcel-schemes/m/2stats2.pdf
y13m,2,test-y13ht2,"HT2 test, late Nov",assess,
y13m,2,2mech5,"Resolving forces, friction",learn,edexcel-schemes/m/2mech5.pdf
y13m,3,test-y13-mock,January Mock,assess,
y13m,3,2stats3,Normal distribution,learn,edexcel-schemes/m/2stats3.pdf
y13m,3,2pure10,Integration of e and ln,learn,edexcel-schemes/m/2pure10.pdf
y13m,3,2pure11,Integration of harder expressions,learn,edexcel-schemes/m/2pure11.pdf
y13m,4,2pure9,Numerical methods,learn,edexcel-schemes/m/2pure9.pdf
y13m,4,2pure7,Parametric equations,learn,edexcel-schemes/m/2pure7.pdf
y13m,4,2pure12,Vectors in 3D,learn,edexcel-schemes/m/2pure12.pdf
y13m,4,2mech7,Statics and dynamics,learn,edexcel-schemes/m/2mech7.pdf
y13m,4,2mech8,Further kinematics,learn,edexcel-schemes/m/2mech8.pdf
y13m,5,test-apr-mock,Full paper mock,assess,
y13m,5,2purerev,Mop-up and revise for Papers 1 & 2,learn,
y13m,5,2appliedrev,Mop-up and revise for Applied Paper,learn,
